page,signal_id,family,signal,status,evidence
/a2a/,OP001,meta_head,Unique title,PASS,A2A Web | AiVenture
/a2a/,OP002,meta_head,Title primary intent,PASS,A2A Web | AiVenture
/a2a/,OP003,meta_head,Title entity clarity,PASS,A2A Web | AiVenture
/a2a/,OP004,meta_head,Title brand suffix,PASS,A2A Web | AiVenture
/a2a/,OP005,meta_head,Unique meta description,PASS,"Agent-to-Agent simplu, de la om la serviciu și înapoi."
/a2a/,OP006,meta_head,Meta description proposition,PASS,"Agent-to-Agent simplu, de la om la serviciu și înapoi."
/a2a/,OP007,meta_head,Meta description intent match,PASS,"Agent-to-Agent simplu, de la om la serviciu și înapoi."
/a2a/,OP008,meta_head,Canonical present,PASS,https://aiventure.ro/a2a/
/a2a/,OP009,meta_head,Canonical self-reference,PASS,https://aiventure.ro/a2a/
/a2a/,OP010,meta_head,Canonical HTTPS,PARTIAL,present in page; semantic quality requires review
/a2a/,OP011,meta_head,Canonical host consistency,PARTIAL,present in page; semantic quality requires review
/a2a/,OP012,meta_head,Robots meta present,PASS,meta robots
/a2a/,OP013,meta_head,Robots indexability correct,PARTIAL,present in page; semantic quality requires review
/a2a/,OP014,meta_head,Language declaration,PASS,lang=ro
/a2a/,OP015,meta_head,Charset UTF-8,PASS,utf-8
/a2a/,OP016,meta_head,Viewport present,PASS,viewport
/a2a/,OP017,meta_head,Theme color,PARTIAL,present in page; semantic quality requires review
/a2a/,OP018,meta_head,OG title,PASS,A2A Web | AiVenture
/a2a/,OP019,meta_head,OG description,PASS,OpenGraph
/a2a/,OP020,meta_head,OG URL,PASS,OpenGraph
/a2a/,OP021,meta_head,OG image,PASS,OpenGraph
/a2a/,OP022,meta_head,OG type,PASS,OpenGraph
/a2a/,OP023,meta_head,Twitter card,PASS,Twitter meta
/a2a/,OP024,meta_head,Twitter title,PASS,A2A Web | AiVenture
/a2a/,OP025,meta_head,Twitter description,PASS,Twitter meta
/a2a/,OP026,meta_head,Twitter image,PASS,Twitter meta
/a2a/,OP027,meta_head,Primary image declaration,PARTIAL,present in page; semantic quality requires review
/a2a/,OP028,meta_head,Published date metadata,PARTIAL,present in page; semantic quality requires review
/a2a/,OP029,meta_head,Modified date metadata,PARTIAL,present in page; semantic quality requires review
/a2a/,OP030,meta_head,Session metadata,PARTIAL,present in page; semantic quality requires review
/a2a/,OP031,meta_head,Timestamp metadata,PARTIAL,present in page; semantic quality requires review
/a2a/,OP032,page_structure,Header present,PARTIAL,present in page; semantic quality requires review
/a2a/,OP033,page_structure,Header session visible,PARTIAL,present in page; semantic quality requires review
/a2a/,OP034,page_structure,Header timestamp visible,PARTIAL,present in page; semantic quality requires review
/a2a/,OP035,page_structure,Primary navigation present,PARTIAL,present in page; semantic quality requires review
/a2a/,OP036,page_structure,Breadcrumb internal page,PASS,breadcrumb
/a2a/,OP037,page_structure,No breadcrumb on homepage,PASS,breadcrumb
/a2a/,OP038,page_structure,Breadcrumb position,PASS,breadcrumb
/a2a/,OP039,page_structure,Unique H1,PASS,Agentul tău merge la serviciu pentru tine.
/a2a/,OP040,page_structure,H1 intent alignment,PASS,Agentul tău merge la serviciu pentru tine.
/a2a/,OP041,page_structure,H1 not duplicated,PASS,Agentul tău merge la serviciu pentru tine.
/a2a/,OP042,page_structure,H2 semantic hierarchy,PASS,H2
/a2a/,OP043,page_structure,H3 semantic hierarchy,PARTIAL,present in page; semantic quality requires review
/a2a/,OP044,page_structure,No skipped hierarchy,PASS,skip link
/a2a/,OP045,page_structure,Main landmark,PASS,main
/a2a/,OP046,page_structure,Section semantics,PARTIAL,present in page; semantic quality requires review
/a2a/,OP047,page_structure,Footer global,PARTIAL,present in page; semantic quality requires review
/a2a/,OP048,page_structure,Footer quick links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP049,page_structure,Footer contact,PASS,contact
/a2a/,OP050,page_structure,Footer social links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP051,page_structure,Footer legal links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP052,content_core,Primary answer above fold,PASS,visible=True; schema=True
/a2a/,OP053,content_core,Canonical positioning consistency,PARTIAL,present in page; semantic quality requires review
/a2a/,OP054,content_core,Audience explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP055,content_core,Problem explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP056,content_core,Outcome explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP057,content_core,Offer explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP058,content_core,Deliverables explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP059,content_core,Exclusions explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP060,content_core,Differentiators explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP061,content_core,Negative scope explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP062,content_core,Geography explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP063,content_core,Jurisdiction explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP064,content_core,Language scope explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP065,content_core,Price/rule explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP066,content_core,Availability explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP067,content_core,SLA explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP068,content_core,Version explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP069,content_core,Freshness explicit,PARTIAL,present in page; semantic quality requires review
/a2a/,OP070,content_core,No stale contradiction,PARTIAL,present in page; semantic quality requires review
/a2a/,OP071,content_core,No generic AI drift,PARTIAL,present in page; semantic quality requires review
/a2a/,OP072,aeo_faq,Direct what answer,PASS,visible=True; schema=True
